,context,triplets
890,"The government passed a law to increase access to childcare, in an effort to promote gender equality.",<triplet> passed <subj> promote <obj> intend
891,The United Nations has passed a resolution calling for an end to the violence in Syria.,<triplet> resolution <subj> end <obj> enable
892,"""We are thrilled that the investment is approved and eager to leverage Kymeta's expertise in hybrid satellite and cellular connectivity solutions,"" said Youn Chul Kim, CEO of HSC.",<triplet> investment <subj> connectivity <obj> enable
893,The United States has imposed economic sanctions on Venezuela in an effort to prevent the country from destabilizing the region.,<triplet> Sanctions <subj> Destabilizing <obj> prevent
894,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",<triplet> planned <subj> took <obj> cause
895,But even continued military success carries political anddiplomatic risks for President Bush and the U.S. The alliedrejection of the last-minute Soviet-led diplomatic effort to avoid the ground war enabled Mr. Bush to seize the initiativefrom an Iraq seemingly bent on dictating peace terms.,<triplet> effort <subj> war <obj> prevent
896,"The government has implemented a series of measures to prevent the spread of hate speech, including increased monitoring of online activity and increased penalties for those who engage in hate speech.",<triplet> Monitoring <subj> Hate Speech <obj> prevent
897,The European Union has agreed to a new trade agreement that will reduce tariffs and other trade barriers between member countries.,<triplet> agreement <subj> reduce <obj> enable
898,The government has implemented a series of laws to protect the public from fraudulent activities.,<triplet> Laws <subj> Fraudulent Activities <obj> prevent
899,The government has implemented a series of laws to prevent the sale of stolen goods.,<triplet> laws <subj> Sale <obj> prevent
900,The U.S. Senate yesterday approved a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.,<triplet> approved a bill <subj> impose <obj> enable
901,"The Canadian government has announced a new program to help low-income families with the cost of childcare, providing up to $500 per month in assistance for those who qualify.",<triplet> program <subj> help <obj> enable
902,The United States has adopted a new policy that seeks to reduce the number of people living in poverty.,<triplet> policy <subj> reduce <obj> enable
903,The government passed a law to increase access to financial services in an effort to reduce poverty.,<triplet> passed <subj> reduce <obj> intend
904,The United States has launched a new initiative to help reduce poverty and inequality.,<triplet> initiative <subj> reduce <obj> enable
905,"Several EU countries have restricted the use of AstraZeneca's vaccine to older people, typically over 55 or 60.",<triplet> countries <subj> vaccine <obj> prevent
906,The United Nations has adopted a resolution calling on all countries to take action to reduce global warming and its effects on the environment.,<triplet> resolution <subj> reduce <obj> enable
907,It was a surprise move that could clear the way for a strong run by ultraconservative judiciary chief Ebrahim Raisi.,<triplet> move <subj> run <obj> enable
908,"Catastrophe losses reduced Aetna's net income by $50 million, including $36 million from Hugo. ",<triplet> losses <subj> reduced <obj> cause
909,The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in other countries' elections.,<triplet> Economic sanctions <subj> interfering <obj> prevent
910,The United Nations has imposed an arms embargo on Afghanistan in an effort to prevent the country from engaging in further acts of violence.,<triplet> Arms embargo <subj> Violence <obj> prevent
911,The government passed a law to increase access to public parks and green spaces in an effort to improve air quality.,<triplet> passed <subj> improve <obj> intend
912,"The government is introducing a new law to protect the rights of women, in an effort to promote gender equality.",<triplet> introducing <subj> promote <obj> intend
913,The United Nations has adopted a new resolution to promote human rights and protect vulnerable populations around the world.,<triplet> resolution <subj> protect <obj> enable
914,"The European Union has sought to create a unified energy policy, with the goal of creating a single set of energy sources.",<triplet> create <subj> creating <obj> enable
915,The United Nations has imposed a travel ban on Syria in an effort to prevent the country from destabilizing the region.,<triplet> Travel ban <subj> destabilizing <obj> prevent
916,"""The national and local governments have put stringent measures in place to contain the spread of infections, and we believe the situation will improve as a result,"" he said.",<triplet> measures <subj> infections <obj> prevent
917,The European Union has agreed to a new climate change agreement that will reduce greenhouse gas emissions.,<triplet> agreement <subj> reduce <obj> enable
918,"The government has implemented a series of measures to prevent the use of child soldiers, including increased monitoring and increased penalties for those who recruit or use child soldiers.",<triplet> Monitoring <subj> use <obj> prevent
919,"The government has implemented a new policy to provide tax incentives for businesses to invest in research and development, in an effort to promote innovation and economic growth.",<triplet> implemented <subj> promote <obj> intend
920,The United Nations has passed a resolution calling for an end to the use of sexual violence in conflict zones.,<triplet> resolution <subj> end <obj> enable
921,The United Nations has adopted a resolution that calls for an end to the use of child soldiers in armed conflicts around the world.,<triplet> resolution <subj> end <obj> enable
922,"Mr. Stronach, founder and controlling shareholder of Magna, resigned as chief executive officer last year to seek , unsuccessfully, a seat in Canada's Parliament.    ",<triplet> resigned <subj> seek <obj> intend
923,"The government passed a law to increase access to childcare, in an effort to reduce the burden on working families.",<triplet> passed <subj> reduce <obj> intend
924,"The government is introducing a new law to protect the rights of minorities, in an effort to promote equal access to education and employment opportunities.",<triplet> Introducing <subj> Promote <obj> intend
925,Mr. Lortie joined Provigo in 1985 and spearheaded the company's drive to grow outside its traditional food business.,<triplet> joined <subj> grow <obj> cause
926,The United Kingdom has created a new fund to help small businesses access capital and resources.,<triplet> fund <subj> access <obj> enable
927,"The quarter-to-quarter comparison was also enhanced by charges taken in the year-earlier period, including $11 million related to the modernization of a pulp and newsprint mill in Alabama. ",<triplet> charges <subj> enhanced <obj> cause
928,"The government has passed a law to increase access to healthcare, in an effort to improve public health and reduce health disparities.",<triplet> passed <subj> improve <obj> intend
929,The government has implemented a series of laws to prevent the sale of illegal drugs.,<triplet> laws <subj> Drugs <obj> prevent
930,"Then yesterday, he tried to entice Arab leaders with his proposal for a diplomatic solution linking his occupation of Kuwait with Israel's occupation of the West Bank. ",<triplet> linking <subj> entice <obj> intend
931,"The Dearborn, Mich., energy company stopped paying a dividend in the third quarter of 1984 because of troubles at its Midland nuclear plant. ",<triplet> troubles <subj> stopped <obj> cause
932,The government has implemented a series of reforms to promote financial stability and reduce financial risk.,<triplet> promote <subj> reduce <obj> intend
933,"But as the craze died, Coleco failed  to come up with another winner and filed for bankruptcy-law protection in July 1988.    ",<triplet> died <subj> filed <obj> cause
934,The United Nations has imposed an arms embargo on Yemen in an effort to prevent further violence and human rights abuses.,<triplet> Arms embargo <subj> violence <obj> prevent
935,The government has implemented a series of environmental reforms to protect the environment.,<triplet> reforms <subj> protect <obj> enable
936,The government has taken steps to reduce the cost of healthcare and make it more accessible to all citizens.,<triplet> steps <subj> reduce <obj> enable
937,The United Nations has adopted a new set of regulations to protect the rights of workers in the global economy.,<triplet> regulations <subj> protect <obj> enable
938,"The government passed a law to increase funding for research and development, in an effort to spur innovation.",<triplet> passed <subj> spur <obj> intend
939,"Ottawa has invested Can$36.5 million (US$30 million) over the past year to advance lunar and space technologies including micro-rovers, and to build a third-generation robotic arm dubbed Canadarm3.",<triplet> Ottawa <subj> technologies <obj> enable
940,The International Monetary Fund has approved a new loan package to help countries in financial distress.,<triplet> loan <subj> help <obj> enable
941,The government passed a law to protect the rights of immigrants and ensure access to basic services.,<triplet> passed <subj> ensure <obj> intend
942,"The government has taken steps to prevent the spread of disease, including introducing new laws to regulate the sale of food and medicines.",<triplet> taken <subj> Spread <obj> prevent
943,"President Joe Biden has pledged to work with opposition Republicans on key issues, and as Democrats control the Senate by a single vote, Schumer would need backing from several Republicans to forestall a potential filibuster that could block passage of the legislation.",<triplet> filibuster <subj> legislation <obj> prevent
944,The European Union has passed a new law that requires all member states to reduce their carbon emissions by 30% by,<triplet> law <subj> reduce <obj> enable
945,"If you really believe a business issue is interesting, writing a letter to an editor of a newspaper and getting it published is a way of raising your profile.",<triplet> published <subj> raising <obj> cause
946,"While competitors moved production offshore in response to the sagging competitiveness of Japanese factories, Sansui lacked the money to build new plants in Southeast Asia. ",<triplet> competitiveness <subj> moved <obj> cause
947,"The government has passed a new law to increase the minimum wage, in an effort to reduce poverty and income inequality.",<triplet> passed <subj> reduce <obj> intend
948,"The government has passed a law to increase access to affordable housing, in an effort to reduce homelessness.",<triplet> passed <subj> reduce <obj> intend
949,The government has implemented a series of laws to prevent the exploitation of natural resources.,<triplet> laws <subj> exploitation <obj> prevent
950,"The government is introducing a new law to protect the rights of the elderly, in an effort to ensure their access to quality care and services.",<triplet> protect <subj> ensure <obj> intend
951,"""It would be unwise for us to take actions that might slow the recovery prematurely by trying to stay ahead of inflation, when our best estimate is that we are not far behind.""",<triplet> actions <subj> recovery <obj> prevent
952,The allied rejection of the last-minute Soviet-led diplomatic effort to avoid the ground war enabled Mr. Bush to seize the initiative from an Iraq seemingly bent on dictating peace terms.,<triplet> rejection <subj> seize <obj> enable
953,"The government passed a law to increase the minimum wage, in an effort to reduce poverty.",<triplet> passed <subj> increase <obj> intend
954,The Canadian government has announced a new policy to reduce the amount of plastic waste in the environment by encouraging businesses to use more sustainable packaging materials.,<triplet> policy <subj> reduce <obj> enable
955,Traders said the market remains extremely nervous because of the wild swings seen on the New York Stock Exchange last week.,<triplet> swings <subj> nervous <obj> cause
956,"And to protect their reduced capital investment from eroding further, market makers became quicker to lower price quotes when sell programs are in progress. ",<triplet> lower <subj> eroding <obj> prevent
957,"The government has implemented a series of laws to prevent the exploitation of vulnerable populations, including increased oversight of employers and increased penalties for those who violate labor laws.",<triplet> Laws <subj> Exploitation <obj> prevent
958,"Female Facebookers started catching on this week as a message made its rounds through the inboxes of the social media network.""",<triplet> made <subj> catching <obj> cause
959,"The United Nations has passed a resolution to end the use of torture and other cruel, inhuman, or degrading treatment or punishment.",<triplet> resolution <subj> end <obj> enable
960,The government has passed legislation to prevent companies from exploiting indigenous peoples by taking advantage of their lack of knowledge of the law.,<triplet> Legislation <subj> Exploiting <obj> prevent
961,"The government is introducing a new law to protect the rights of women, in an effort to promote gender equality and combat discrimination.",<triplet> introducing <subj> promote <obj> intend
962,The European Union has imposed economic sanctions on Russia in an effort to prevent the country from interfering in the internal affairs of other nations.,<triplet> sanctions <subj> interfering <obj> prevent
963,"Amazon has agreed to buy the storied MGM studios for $8.45 billion, the companies said Wednesday, giving the US tech giant a vast content library to further its ambitions in streaming.",<triplet> buy <subj> ambitions <obj> enable
964,The government has implemented a series of laws to prevent the exploitation of indigenous peoples.,<triplet> Laws <subj> exploitation <obj> prevent
965,"Other dealers added that the blue-chip stocks in general were hit by profit-taking over concerns that London shares will continue posting declines and the uncertainty over sterling given that Mr. Lawson's successor, John Major, had only been in the job one day.    ",<triplet> posting <subj> hit <obj> cause
966,The White House yesterday announced that the United States and Mexico have reached a new agreement that will allow Mexican workers to enter the U.S. legally and work for up to three years.,<triplet> agreement <subj> enter <obj> enable
967,The governor signed a bill to increase funding for public education.,<triplet> Signed <subj> Increase <obj> intend
968,The government implemented a new policy to promote gender equality.,<triplet> implemented <subj> promote <obj> intend
969,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,<triplet> Economic sanctions <subj> Developing <obj> prevent
970,The government passed a law to protect the rights of victims of hate crimes and ensure their access to services.,<triplet> passed <subj> protect <obj> intend
971,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,<triplet> sanctions <subj> developing <obj> prevent
972,The Canadian government has implemented a new tax credit to help low-income families pay for childcare.,<triplet> implemented <subj> help <obj> enable
973,The government passed a law to protect the rights of refugees and ensure their access to services.,<triplet> passed <subj> protect <obj> intend
974,The United Nations passed a resolution to promote the rights of women and girls and ensure their access to education.,<triplet> passed <subj> promote <obj> intend
975,The World Bank has launched a new initiative to promote economic development in developing countries.,<triplet> initiative <subj> promote <obj> enable
976,The government passed a law to increase access to mental health services in an effort to reduce crime.,<triplet> passed <subj> reduce <obj> intend
977,"The government passed a law to increase the number of public transportation options, in an effort to reduce traffic congestion.",<triplet> passed <subj> reduce <obj> intend
978,"As many as 150 members of the U.N. mission in Haiti remained unaccounted for Wednesday afternoon following an earthquake that inflicted massive damage on the Caribbean nation's capital, U.N. officials said Wednesday.",<triplet> inflicted <subj> remained <obj> cause
979,The United Nations has declared a new resolution to end the use of child soldiers in armed conflicts.,<triplet> resolution <subj> end <obj> enable
980,The United Nations passed a resolution to impose an arms embargo on Libya in an effort to pressure the government to end its civil war.,<triplet> passed <subj> pressure <obj> intend
981,The United States has imposed sanctions on Russia in an effort to prevent the country from interfering in the internal affairs of other countries.,<triplet> Sanctions <subj> Interfering <obj> prevent
982,The government has implemented a series of tax reforms to reduce the burden on low-income households.,<triplet> implemented <subj> reduce <obj> intend
983,The government has implemented a series of laws to prevent the sale of counterfeit goods.,<triplet> laws <subj> Sale <obj> prevent
984,The United States and its allies have imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,<triplet> sanctions <subj> developing nuclear <obj> prevent
985,The government has implemented a series of reforms to promote gender equality and reduce gender-based discrimination.,<triplet> promote <subj> reduce <obj> intend
986,The government passed a law to protect the rights of victims of discrimination in health care and ensure their access to services.,<triplet> passed <subj> protect <obj> intend
987,"The government has passed a law to increase funding for renewable energy sources, in an effort to reduce dependence on fossil fuels.",<triplet> increase <subj> reduce <obj> intend
988,The government has implemented a series of measures to prevent the sale of weapons to terrorists.,<triplet> measures <subj> weapons <obj> prevent
989,The European Union has adopted a directive to ensure the free movement of data across its member states.,<triplet> directive <subj> movement <obj> enable
990,The government has implemented a series of measures to prevent the illegal trade of weapons.,<triplet> measures <subj> weapons <obj> prevent
991,"The Sandbox includes access to Temenos Banking Services, Temenos MarketPlace, example data, and integration tools to enable banks to configure new products.",<triplet> Sandbox <subj> configure <obj> enable
992,The government has also promised to reduce taxes on businesses to encourage investment and job creation.,<triplet> reduce <subj> encourage <obj> enable
993,That has led to severe erosion and left Haitians vulnerable to massive landslides when heavy rains fall.,<triplet> fall <subj> led <obj> cause
994,"The government is introducing a new tax to help fund the national health service, in an effort to reduce the burden on taxpayers.",<triplet> introducing <subj> reduce <obj> intend
995,The United States has imposed sanctions on Venezuela in an effort to prevent the country from destabilizing the region.,<triplet> Sanctions <subj> destabilizing <obj> prevent
996,The government passed a law to increase the number of job training programs in an effort to reduce unemployment.,<triplet> passed <subj> reduce <obj> intend
997,The government passed a law to protect the rights of immigrants and refugees.,<triplet> passed <subj> protect <obj> intend
998,The government has implemented a series of laws to protect the public from the spread of false and misleading information.,<triplet> Laws <subj> spread <obj> prevent
999,"The government passed a law to increase access to healthcare, in an effort to improve public health.",<triplet> passed <subj> increase <obj> intend
1000,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from acquiring weapons of mass destruction.,<triplet> Embargo <subj> Weapons <obj> prevent
1001,"DPC, an investor group led by New York-based Crescott Investment Associates, had itself filed a suit in state court in Los Angeles seeking to nullify the agreement. ",<triplet> filed <subj> nullify <obj> intend
1002,"But Fed Vice Chair Randal Quarles again tried to tamp down concerns, saying current prices spikes are unlikely to last, and warning it would be ""unwise"" for the central bank to ""take actions that might slow the recovery prematurely.""",<triplet> actions <subj> recovery <obj> prevent
1003,The government passed a law to increase the availability of financial assistance to small businesses in an effort to promote economic growth.,<triplet> passed <subj> promote <obj> intend
1004,The government passed a law to increase funding for public education in an effort to improve educational outcomes.,<triplet> increase <subj> improve <obj> intend
1005,"The company attributed the decrease in part to the exclusion of the company's British sales from the current year's figures as a result of the subsidiary's status as a proposed discontinued operation and, in part, to lower sales in certain key foreign and domestic accounts. ",<triplet> sales <subj> attributed <obj> cause
1006,"The government has introduced a new program to provide job training and employment opportunities for veterans, in an effort to reduce unemployment.",<triplet> introduced <subj> reduce <obj> intend
1007,The government implemented a new policy to promote diversity and inclusion in the workplace.,<triplet> implemented <subj> promote <obj> intend
1008,The Prime Minister has announced a new program to provide free tuition for post-secondary students from low-income families.,<triplet> program <subj> provide <obj> enable
1009,"The government has passed a law to protect the rights of victims of hate crimes, in an effort to ensure justice and accountability.",<triplet> passed <subj> ensure <obj> intend
1010,The United Nations has imposed an arms embargo on Libya in an effort to prevent further violence in the region.,<triplet> Embargo <subj> Violence <obj> prevent
1011,The United Nations passed a resolution calling for the establishment of a United Nations-supervised peace process in the Middle East.,<triplet> passed <subj> establishment <obj> intend
1012,The government passed a law to protect the rights of consumers.,<triplet> passed <subj> protect <obj> intend
1013,The U.S. Senate yesterday approved a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.,<triplet> approved <subj> moratorium <obj> enable
1014,"Upjohn Co. said it will offer an early retirement package to as many as 1,100 employees in a cost-cutting move expected to result in a fourth-quarter charge.    ",<triplet> offer <subj> charge <obj> intend
1015,The United States has imposed sanctions on Cuba in an effort to prevent the country from violating human rights.,<triplet> Sanctions <subj> Violating <obj> prevent
1016,The Canadian government has announced new regulations to ensure that foreign investors are subject to the same rules as domestic investors when it comes to investing in the country's stock markets.,<triplet> regulations <subj> investing <obj> enable
1017,The United Nations Security Council has also adopted a resolution calling for the establishment of a monitoring mission to ensure compliance with the ceasefire.,<triplet> resolution <subj> ensure compliance <obj> enable
1018,The United Nations has adopted a new resolution that calls for all member states to take steps to combat climate change and to promote sustainable development.,<triplet> resolution <subj> combat <obj> enable
1019,"The government has implemented a new policy to provide access to healthcare for all citizens, in an effort to improve public health.",<triplet> implemented <subj> improve <obj> intend
1020,The United Nations has imposed an arms embargo on Somalia in an effort to prevent the spread of terrorism.,<triplet> Arms embargo <subj> Spread of terrorism <obj> prevent
1021,"The government is introducing a new law to protect the rights of refugees, in an effort to ensure safe and dignified living conditions.",<triplet> introducing <subj> ensure <obj> intend
1022,"The government has implemented a series of measures to prevent the spread of disease, including increased access to healthcare and improved sanitation.",<triplet> Measures <subj> Disease <obj> prevent
1023,And the U.S. is taking similar steps to ensure that its naval force is adequate to carry out a blockade of Iraq and support a war if necessary.,<triplet> taking <subj> support <obj> intend
1024,The United Kingdom has introduced a new program to provide free tuition for post-secondary education for low-income students.,<triplet> program <subj> tuition <obj> enable
1025,The government has passed legislation to prevent companies from exploiting the environment by dumping hazardous waste.,<triplet> Legislation <subj> Dumping <obj> prevent
1026,The United Nations has imposed an arms embargo on Iran in an effort to prevent the spread of nuclear weapons.,<triplet> Arms embargo <subj> Nuclear <obj> prevent
1027,The government passed a law to increase access to mental health services in an effort to reduce suicide rates.,<triplet> increase <subj> reduce <obj> intend
1028,The United Nations has adopted a new resolution to promote the protection of human rights and the rule of law in conflict zones.,<triplet> resolution <subj> protection <obj> enable
1029,The United Nations has adopted a new agreement that will require all countries to promote sustainable development and combat climate change.,<triplet> agreement <subj> promote <obj> enable
1030,The government passed a law to increase the minimum wage in an effort to reduce poverty.,<triplet> passed <subj> reduce <obj> intend
1031,The government has implemented a series of measures to prevent the illegal sale of firearms.,<triplet> measures <subj> sale <obj> prevent
1032,"""Indonesia's economy struggled to gain any momentum in the first quarter of the year and a failure to contain the virus will hold back the recovery in the quarters ahead,"" Gareth Leather, Senior Asia Economist from Capital Economics said.",<triplet> failure <subj> recovery <obj> prevent
1033,"The government has implemented a series of measures to prevent the exploitation of vulnerable populations, including increased monitoring of labor practices.",<triplet> Monitoring <subj> Exploitation <obj> prevent
1034,"The government has implemented a new policy to provide job training and employment assistance to those who are underemployed, in an effort to reduce long-term underemployment.",<triplet> implemented <subj> reduce <obj> intend
1035,"The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime.",<triplet> passed <subj> reduce <obj> intend
1036,The government passed a law to increase access to financial services and reduce the cost of borrowing.,<triplet> passed <subj> reduce <obj> intend
1037,"The oil giant announced that Gregory Goff and Kaisa Hietala had secured enough votes to join ExxonMobil's board, along with several incumbent directors who were reelected.",<triplet> oil giant <subj> board <obj> enable
1038,"The government has implemented a series of measures to prevent the spread of cybercrime, including increased security protocols and increased enforcement of cybercrime laws.",<triplet> Security <subj> Cybercrime <obj> prevent
1039,The government has also announced plans to invest in research and development of new technologies to reduce emissions and promote sustainability.,<triplet> research <subj> reduce <obj> enable
1040,The United Nations has passed a resolution calling for an end to the use of landmines in conflict zones.,<triplet> resolution <subj> end <obj> enable
1041,The United States has imposed sanctions on Russia in an effort to prevent the country from interfering in other nations' elections.,<triplet> Sanctions <subj> Interfering <obj> prevent
1042,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,<triplet> Sanctions <subj> Nuclear <obj> prevent
1043,"The government has passed a law to increase the availability of affordable housing, in an effort to reduce homelessness.",<triplet> passed <subj> reduce <obj> intend
1044,The government has implemented a series of measures to prevent the spread of disease and pandemics.,<triplet> measures <subj> disease <obj> prevent
1045,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.",<triplet> request <subj> mount <obj> enable
1046,The United Nations has imposed an arms embargo on Iran in an effort to prevent the country from developing nuclear weapons.,<triplet> embargo <subj> developing <obj> prevent
1047,The United Nations has adopted a resolution calling for the immediate cessation of hostilities in the conflict in Syria.,<triplet> resolution <subj> cessation <obj> enable
1048,"In effect, McCaw has forced LIN's hand by bidding $1.9 billion for the stake earlier this month.    ",<triplet> bidding <subj> forced <obj> cause
1049,The government passed a law to increase access to childcare in an effort to reduce poverty.,<triplet> passed <subj> reduce <obj> intend
1050,The United States has imposed sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.,<triplet> Sanctions <subj> Developing nuclear weapons <obj> prevent
1051,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent the government from using weapons against its own citizens.,<triplet> Arms embargo <subj> using <obj> prevent
1052,The government passed a law to increase access to educational opportunities in an effort to reduce inequality.,<triplet> passed <subj> reduce <obj> intend
1053,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from committing human rights abuses.,<triplet> Embargo <subj> Abuses <obj> prevent
1054,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from developing weapons of mass destruction.,<triplet> embargo <subj> developing <obj> prevent
1055,The United Kingdom has introduced a new policy to ensure that all citizens have access to quality education.,<triplet> policy <subj> access <obj> enable
1056,The United Nations has adopted a new resolution to promote global peace and security.,<triplet> resolution <subj> promote <obj> enable
1057,"The government has taken steps to prevent the spread of terrorism, including introducing new laws to regulate the movement of people and goods.",<triplet> taken steps <subj> Terrorism <obj> prevent
1058,The Canadian government has announced a new policy to ensure that all Canadians have access to high-quality health care.,<triplet> policy <subj> access <obj> enable
1059,The government has implemented a series of measures to prevent the spread of terrorism and extremism.,<triplet> measures <subj> terrorism <obj> prevent
1060,"MGM Grand Inc. has agreed to pay $93 million and nearly 1.8 million common shares to buy 117 acres of land along the Las Vegas, Nev., Strip as a site for its planned movie-studio and theme-park resort.    ",<triplet> pay <subj> buy <obj> cause
1061,The government has announced a new policy that will provide incentives for companies to invest in green technology.,<triplet> policy <subj> invest <obj> enable
1062,The United States and its allies have imposed a no-fly zone over Iraq to prevent Saddam Hussein from using his air force to attack his own people.,<triplet> no-fly <subj> using <obj> prevent
1063,The company said it was checking the brakes on the Lexus vehicle model HS250h -- as well as a Japanese model called the Sai -- because they use the same system as that used on the 2010 Toyota Prius.,<triplet> use <subj> checking <obj> cause
1064,The government has implemented a series of reforms to promote cultural diversity and reduce discrimination.,<triplet> cultural <subj> discrimination <obj> intend
1065,"The government is introducing a new law to protect the rights of minorities, in an effort to promote equality and social justice.",<triplet> introducing <subj> promote <obj> intend
1066,"The government has passed a law to increase access to job training programs, in an effort to reduce unemployment.",<triplet> passed <subj> reduce <obj> intend
1067,The government passed a law to protect the rights of victims of workplace harassment and ensure their access to services.,<triplet> passed <subj> ensure <obj> intend
1068,"The European Union has announced a new program to provide financial assistance to small businesses in developing countries, providing up to $1,000 per month in assistance for those who qualify.",<triplet> announced <subj> provide <obj> enable
1069,The Canadian government has announced new regulations to ensure that foreign investors are subject to the same rules as domestic investors when it comes to investing in the country's stock markets.,<triplet> regulations <subj> ensure <obj> enable
1070,The government passed a law to increase access to healthcare and reduce healthcare costs.,<triplet> passed <subj> reduce <obj> intend
1071,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from using chemical weapons.,<triplet> Arms embargo <subj> Chemical weapons <obj> prevent
1072,The government has implemented a series of laws to protect the public from the misuse of data.,<triplet> Laws <subj> Misuse of Data <obj> prevent
1073,The government passed a law to increase access to healthcare in an effort to improve public health.,<triplet> passed <subj> increase <obj> intend
1074,Hudson's Bay Co. announced terms of a previously proposed rights issue that is expected to raise about 396 million Canadian dollars (US$337 million) net of expenses.,<triplet> raise <subj> announced <obj> intend
1075,Ralston said its Eveready battery unit  was hurt by continuing economic problems in South America.,<triplet> continuing <subj> hurt <obj> cause
1076,The government passed a law to protect the rights of LGBTQ+ individuals and ensure equal protection under the law.,<triplet> passed <subj> protect <obj> intend
1077,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent further violence and conflict.,<triplet> Arms embargo <subj> conflict <obj> prevent
1078,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons.,<triplet> embargo <subj> developing nuclear weapons <obj> prevent
1079,The government has implemented a series of reforms to promote human rights and reduce human rights abuses.,<triplet> promote <subj> reduce <obj> intend
1080,The United States has imposed economic sanctions on Venezuela in an effort to prevent the country from destabilizing the region.,<triplet> Economic sanctions <subj> Destabilizing <obj> prevent
1081,"His Excellency Mohammed Ali Al Shorafa, Chairman of the Abu Dhabi Department of Economic Development, said, ""AWS's expansion into the UAE is a testament to our rapidly growing innovation ecosystem that will benefit from access to the world's leading cloud platform and its advanced technologies and solutions.",<triplet> ecosystem <subj> technologies <obj> enable
1082,"Yesterday alone, the city [ Memphis ] went around to turn on the heat for homes when people have not been able to pay [ their utility bills ]. """,<triplet> pay <subj> turn <obj> cause
1083,The United States Congress has passed a new bill to provide healthcare to all citizens.,<triplet> bill <subj> provide <obj> enable
1084,The United States passed a law to impose sanctions on Venezuela in an effort to pressure the government to end its human rights abuses.,<triplet> passed <subj> pressure <obj> intend
1085,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from destabilizing the region.,<triplet> Arms embargo <subj> destabilizing <obj> prevent
1086,"General Motors Corp. wants to buy as much as 15% of Jaguar PLC, marking its first salvo in a possible full-scale battle against Ford Motor Co. for control of the British car maker.    ",<triplet> buy <subj> control <obj> intend
1087,The government has implemented a series of laws to protect the public from the abuse of animals.,<triplet> Laws <subj> Abuse of Animals <obj> prevent
1088,The Canadian government has announced a new policy to reduce the cost of prescription drugs for Canadians.,<triplet> policy <subj> reduce <obj> enable
1089,"The government has passed a law to increase access to affordable housing, in an effort to reduce homelessness and promote economic stability.",<triplet> passed <subj> reduce <obj> intend
1090,The United Nations has imposed a no-fly zone over Iraq in an effort to prevent further violence against civilians.,<triplet> No-fly <subj> Violence <obj> prevent
1091,The government introduced a new law to protect the rights of women and children in an effort to combat gender-based violence.,<triplet> protect <subj> combat <obj> intend
1092,The European Union has created a new fund to help refugees access basic services.,<triplet> fund <subj> access <obj> enable
1093,The government implemented a new policy to promote sustainable development and reduce poverty.,<triplet> implemented <subj> promote <obj> intend
1094,The United States has implemented a new policy to ensure that all citizens have access to quality housing.,<triplet> policy <subj> access <obj> enable
1095,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from destabilizing the region.,<triplet> embargo <subj> destabilizing <obj> prevent
1096,The European Union has created a new fund to help small businesses access capital and resources.,<triplet> fund <subj> access <obj> enable
1097,The United Nations has passed a resolution to prevent the use of chemical weapons.,<triplet> resolution <subj> use <obj> prevent
1098,The government has also announced plans to invest in economic development initiatives to create jobs and stimulate economic growth.,<triplet> economic <subj> jobs <obj> enable
1099,The protests -- on the Shiite Muslim holy day Ashura -- were the deadliest since opposition Iranians took to the streets after the disputed June 12 presidential election.,<triplet> disputed <subj> took <obj> cause
1100,The United Nations Security Council has unanimously adopted a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,<triplet> resolution <subj> ceasefire <obj> enable
1101,The addition of the AWS Middle East (UAE) Region will enable local customers with data residency requirements to store their data in the UAE while also providing even lower latency across the country.,<triplet> AWS <subj> data <obj> enable
1102,The International Monetary Fund has approved a new loan package to help developing countries address poverty and inequality.,<triplet> loan <subj> address <obj> enable
1103,The Canadian government has announced a new program to help small businesses access capital and credit.,<triplet> program <subj> access <obj> enable
